image,feature_idx
https://www.valentino.com/22/22009783im_tools_f2l.jpg,3
https://www.valentino.com/50/50245507qw_tools_f2l.jpg,14
https://www.valentino.com/49/49646913ov_tools_f2l.jpg,25
https://www.valentino.com/41/41984452bl_tools_f2l.jpg,36
https://www.valentino.com/17/17011442tk_tools_f2l.jpg,47
https://www.valentino.com/13/13400943dp_tools_f2l.jpg,58
https://www.valentino.com/45/45545520en_tools_f2l.jpg,69
https://www.valentino.com/11/11971270nk_tools_f2l.jpg,80
https://www.valentino.com/12/12463632ll_tools_f2l.jpg,91
https://www.valentino.com/12/12551402jl_tools_f2l.jpg,102
https://www.valentino.com/13/13574938ub_tools_f2l.jpg,114
https://www.valentino.com/49/49630476wj_tools_f2l.jpg,125
https://www.valentino.com/45/45351375mr_tools_f2l.jpg,136
https://www.valentino.com/49/49630478in_tools_f2l.jpg,147
https://www.valentino.com/46/46558016um_tools_f2l.jpg,158
https://www.valentino.com/46/46699916wg_tools_f2l.jpg,169
https://www.valentino.com/49/49646954mx_tools_f2l.jpg,180
https://www.valentino.com/17/17011419bu_tools_f2l.jpg,191
https://www.valentino.com/35/35455082wp_tools_f2l.jpg,202
https://www.valentino.com/50/50252560wl_tools_f2l.jpg,213
https://www.valentino.com/12/12121479vt_tools_f2l.jpg,225
https://www.valentino.com/11/11970064sn_tools_f2l.jpg,236
https://www.valentino.com/17/17044656dc_tools_f2l.jpg,247
https://www.valentino.com/46/46536131ao_tools_f2l.jpg,258
https://www.valentino.com/49/49646929ci_tools_f2l.jpg,269
https://www.valentino.com/11/11971261bs_tools_f2l.jpg,280
https://www.valentino.com/45/45474148tf_tools_f2l.jpg,291
https://www.valentino.com/46/46710021ec_tools_f2l.jpg,302
https://www.valentino.com/45/45530086ai_tools_f2l.jpg,313
https://www.valentino.com/46/46520244ql_tools_f2l.jpg,324
https://www.valentino.com/15/15118508nx_tools_f2l.jpg,336
https://www.valentino.com/35/35466214js_tools_f2l.jpg,347
https://www.valentino.com/12/12574195lf_tools_f2l.jpg,358
https://www.valentino.com/47/47274368ch_tools_f2l.jpg,369
https://www.valentino.com/50/50249165hi_tools_f2l.jpg,380
https://www.valentino.com/11/11785736pr_tools_f2l.jpg,391
https://www.valentino.com/12/12574181us_tools_f2l.jpg,402
https://www.valentino.com/15/15106022gh_tools_f2l.jpg,413
https://www.valentino.com/13/13554889js_tools_f2l.jpg,424
https://www.valentino.com/35/35455117lp_tools_f2l.jpg,435
https://www.valentino.com/15/15087000dj_tools_f2l.jpg,447
https://www.valentino.com/41/41978015pi_tools_f2l.jpg,458
https://www.valentino.com/11/11886079hs_tools_f2l.jpg,469
https://www.valentino.com/46/46600477sb_tools_f2l.jpg,480
https://www.valentino.com/46/46747340dg_tools_f2l.jpg,491
https://www.valentino.com/12/12308936or_tools_f2l.jpg,502
https://www.valentino.com/45/45530005es_tools_f2l.jpg,513
https://www.valentino.com/45/45437809ge_tools_f2l.jpg,524
https://www.valentino.com/50/50249198fu_tools_f2l.jpg,535
https://www.valentino.com/22/22009285ug_tools_f2l.jpg,546
https://www.valentino.com/11/11665692rt_tools_f2l.jpg,558
https://www.valentino.com/17/17044602ot_tools_f2l.jpg,569
https://www.valentino.com/22/22008669eh_tools_f2l.jpg,580
